,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,BALANCE SHEEET,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
TỔNG TÀI SẢN,"1,809,188,549,000,000.00","1,823,962,183,000,000.00","1,860,104,522,000,000.00","1,888,338,295,000,000.00","2,032,690,017,000,000.00","2,077,615,056,000,000.00","2,161,436,302,000,000.00","2,229,791,111,000,000.00","2,385,387,732,000,000.00","2,469,863,401,000,000.00","2,609,788,006,000,000.00","2,761,550,938,000,000.00","2,767,699,300,000,000.00","2,924,176,928,000,000.00","2,962,003,670,000,000.00"
"Tiền mặt, vàng bạc, đá quý","11,066,956,000,000.00","10,509,894,000,000.00","10,173,535,000,000.00","9,468,579,000,000.00","9,759,580,000,000.00","9,408,384,000,000.00","9,457,900,000,000.00","10,239,086,000,000.00","11,147,549,000,000.00","11,517,746,000,000.00","11,463,197,000,000.00","11,927,654,000,000.00","12,583,484,000,000.00","12,295,797,000,000.00","12,998,380,000,000.00"
Tiền gửi tại Ngân hàng nhà nước Việt Nam,"29,727,110,000,000.00","22,479,729,000,000.00","23,584,485,000,000.00","34,735,212,000,000.00","40,597,059,000,000.00","17,340,570,000,000.00","28,980,462,000,000.00","26,611,768,000,000.00","34,431,657,000,000.00","13,043,069,000,000.00","13,692,083,000,000.00","26,381,835,000,000.00","35,225,543,000,000.00","21,355,164,000,000.00","18,553,436,000,000.00"
Tiền gửi tại các TCTD khác và cho vay các TCTD khác,"243,099,096,000,000.00","207,791,425,000,000.00","230,782,730,000,000.00","254,955,175,000,000.00","279,841,639,000,000.00","332,707,091,000,000.00","351,233,814,000,000.00","378,231,233,000,000.00","378,482,885,000,000.00","406,579,256,000,000.00","428,879,341,000,000.00","487,526,891,000,000.00","476,487,530,000,000.00","600,736,438,000,000.00","553,189,148,000,000.00"
Chứng khoán kinh doanh,"1,419,789,000,000.00","1,145,892,000,000.00","1,441,612,000,000.00","1,567,526,000,000.00","2,487,905,000,000.00","1,935,074,000,000.00","2,259,106,000,000.00","3,234,357,000,000.00","2,798,875,000,000.00","3,066,934,000,000.00","2,209,173,000,000.00","2,624,628,000,000.00","2,942,431,000,000.00","3,579,549,000,000.00","4,069,211,000,000.00"
    Chứng khoán kinh doanh,"1,622,967,000,000.00","1,368,952,000,000.00","1,622,489,000,000.00","1,769,594,000,000.00","2,676,130,000,000.00","2,119,491,000,000.00","2,439,833,000,000.00","3,417,931,000,000.00","2,990,692,000,000.00","3,211,458,000,000.00","2,326,459,000,000.00","2,727,659,000,000.00","3,044,151,000,000.00","3,674,290,000,000.00","4,182,206,000,000.00"
Dự phòng giảm giá chứng khoán kinh doanh,"-203,178,000,000.00","-223,060,000,000.00","-180,877,000,000.00","-202,068,000,000.00","-188,225,000,000.00","-184,417,000,000.00","-180,727,000,000.00","-183,574,000,000.00","-191,817,000,000.00","-144,524,000,000.00","-117,286,000,000.00","-103,031,000,000.00","-101,720,000,000.00","-94,741,000,000.00","-112,995,000,000.00"
Các công cụ tài chính phái sinh và các tài sản tài chính khác,"3,077,852,000,000.00","2,157,082,000,000.00","1,370,944,000,000.00",0.00,0.00,"265,425,000,000.00",0.00,"350,654,000,000.00",0.00,0.00,0.00,"223,329,000,000.00","228,448,000,000.00",0.00,0.00
Cho vay khách hàng,"1,245,057,876,000,000.00","1,303,638,965,000,000.00","1,330,128,708,000,000.00","1,353,619,192,000,000.00","1,445,571,643,000,000.00","1,483,622,353,000,000.00","1,543,489,193,000,000.00","1,569,844,441,000,000.00","1,685,290,589,000,000.00","1,762,190,229,000,000.00","1,865,914,070,000,000.00","1,952,226,906,000,000.00","1,957,462,503,000,000.00","1,994,058,143,000,000.00","2,059,113,306,000,000.00"
  Cho vay khách hàng,"1,274,821,709,000,000.00","1,333,109,461,000,000.00","1,359,356,681,000,000.00","1,386,280,071,000,000.00","1,473,344,564,000,000.00","1,514,397,585,000,000.00","1,571,529,403,000,000.00","1,605,381,436,000,000.00","1,721,954,714,000,000.00","1,800,459,242,000,000.00","1,899,351,501,000,000.00","1,990,563,217,000,000.00","1,992,272,868,000,000.00","2,028,494,571,000,000.00","2,092,707,758,000,000.00"
