,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,"38,532,149,000,000.00","-12,354,419,000,000.00","14,831,974,000,000.00","19,183,597,000,000.00","7,141,948,000,000.00","36,369,856,000,000.00","48,014,597,000,000.00","16,134,027,000,000.00","1,670,206,000,000.00","-8,760,941,000,000.00","27,016,581,000,000.00","66,767,196,000,000.00","-2,378,836,000,000.00","127,479,653,000,000.00","-38,333,006,000,000.00"
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,"38,532,149,000,000.00","-12,354,419,000,000.00","14,831,974,000,000.00","19,183,597,000,000.00","7,141,948,000,000.00","36,369,856,000,000.00","48,014,597,000,000.00","16,134,027,000,000.00","1,670,206,000,000.00","-8,760,941,000,000.00","27,016,581,000,000.00","66,767,196,000,000.00","-2,378,836,000,000.00","127,479,653,000,000.00","-38,333,006,000,000.00"
Lãi/lỗ trước những thay đổi vốn lưu động,"11,138,865,000,000.00","11,450,284,000,000.00","16,612,237,000,000.00","15,176,619,000,000.00","8,001,146,000,000.00","5,141,022,000,000.00","15,211,203,000,000.00","14,720,516,000,000.00","13,681,064,000,000.00","8,159,069,000,000.00","17,717,503,000,000.00","14,889,228,000,000.00","16,873,248,000,000.00","9,152,054,000,000.00","22,849,215,000,000.00"
Thu nhập lãi và các khoản tương đương,"29,867,756,000,000.00","31,537,659,000,000.00","34,223,000,000,000.00","33,395,486,000,000.00","30,837,947,000,000.00","31,146,415,000,000.00","31,723,742,000,000.00","30,966,183,000,000.00","31,810,774,000,000.00","30,636,969,000,000.00","34,368,739,000,000.00","36,472,958,000,000.00","37,951,886,000,000.00","39,778,933,000,000.00","46,560,087,000,000.00"
Chi phí lãi và các khoản tương đương,"-17,127,698,000,000.00","-15,691,888,000,000.00","-17,615,173,000,000.00","-17,985,959,000,000.00","-21,285,874,000,000.00","-19,937,547,000,000.00","-16,299,109,000,000.00","-16,507,893,000,000.00","-16,322,968,000,000.00","-16,367,591,000,000.00","-15,447,639,000,000.00","-18,398,903,000,000.00","-20,850,364,000,000.00","-21,777,061,000,000.00","-22,278,525,000,000.00"
Thu nhập từ hoạt động dịch vụ nhận được,"2,093,001,000,000.00","1,632,484,000,000.00","1,856,723,000,000.00","1,824,668,000,000.00","1,855,597,000,000.00","1,752,869,000,000.00","1,854,119,000,000.00","2,029,206,000,000.00","1,651,385,000,000.00","1,620,349,000,000.00","1,467,576,000,000.00","1,600,143,000,000.00","2,065,076,000,000.00","1,849,783,000,000.00","2,064,742,000,000.00"
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thu nhập từ hoạt động kinh doanh chứng khoán,"985,893,000,000.00","1,213,064,000,000.00","1,328,330,000,000.00","1,163,871,000,000.00","833,711,000,000.00","1,380,930,000,000.00","2,007,222,000,000.00","128,225,000,000.00","827,449,000,000.00","1,195,281,000,000.00","1,264,109,000,000.00","370,235,000,000.00","971,997,000,000.00","1,180,312,000,000.00","909,654,000,000.00"
Thu nhập khác,"422,988,000,000.00","129,663,000,000.00","205,546,000,000.00","-28,767,000,000.00","-46,791,000,000.00","-97,376,000,000.00","-591,251,000,000.00","-182,103,000,000.00","-41,735,000,000.00","-174,682,000,000.00","-100,580,000,000.00","-120,108,000,000.00","-45,111,000,000.00","-28,539,000,000.00","-66,739,000,000.00"
"Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro","1,021,360,000,000.00","641,778,000,000.00","1,372,545,000,000.00","1,222,620,000,000.00","1,434,359,000,000.00","654,357,000,000.00","1,468,926,000,000.00","3,907,368,000,000.00","1,577,465,000,000.00","1,821,083,000,000.00","2,139,410,000,000.00","2,813,695,000,000.00","3,216,923,000,000.00","2,112,005,000,000.00","2,591,666,000,000.00"
Thanh toán cho nhân viên và nhà cung cấp,"-6,078,457,000,000.00","-5,059,409,000,000.00","-3,642,253,000,000.00","-3,835,199,000,000.00","-5,487,010,000,000.00","-6,616,466,000,000.00","-3,774,505,000,000.00","-4,250,534,000,000.00","-5,505,000,000,000.00","-7,232,995,000,000.00","-4,887,515,000,000.00","-4,753,783,000,000.00","-6,410,620,000,000.00","-9,601,937,000,000.00","-4,767,797,000,000.00"
Tiền chi nộp thuế thu nhập doanh nghiệp,"-45,978,000,000.00","-2,953,067,000,000.00","-1,116,481,000,000.00","-580,101,000,000.00","-140,793,000,000.00","-3,142,160,000,000.00","-1,177,941,000,000.00","-1,369,936,000,000.00","-316,306,000,000.00","-3,339,345,000,000.00","-1,086,597,000,000.00","-3,095,009,000,000.00","-26,539,000,000.00","-4,361,442,000,000.00","-2,163,873,000,000.00"
Tiền gửi tại NHNN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
