,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,INCOME STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Thu nhập lãi và các khoản thu nhập tương tự,"30,361,859,000,000.00","32,760,300,000,000.00","34,116,537,000,000.00","32,837,820,000,000.00","32,637,238,000,000.00","30,951,965,000,000.00","30,138,279,000,000.00","30,924,362,000,000.00","32,446,079,000,000.00","32,684,212,000,000.00","34,876,403,000,000.00","36,989,708,000,000.00","38,592,005,000,000.00","41,672,522,000,000.00","46,918,820,000,000.00"
Chi phí lãi và các chi phí tương tự,"-17,514,243,000,000.00","-20,094,129,000,000.00","-21,359,067,000,000.00","-19,750,383,000,000.00","-18,065,212,000,000.00","-15,777,729,000,000.00","-14,799,392,000,000.00","-15,346,848,000,000.00","-16,133,922,000,000.00","-17,208,997,000,000.00","-19,033,787,000,000.00","-19,813,990,000,000.00","-20,632,309,000,000.00","-22,287,369,000,000.00","-26,188,358,000,000.00"
Thu nhập lãi thuần,"12,847,616,000,000.00","12,666,171,000,000.00","12,757,470,000,000.00","13,087,437,000,000.00","14,572,026,000,000.00","15,174,236,000,000.00","15,338,887,000,000.00","15,577,514,000,000.00","16,312,157,000,000.00","15,475,215,000,000.00","15,842,616,000,000.00","17,175,718,000,000.00","17,959,696,000,000.00","19,385,153,000,000.00","20,730,462,000,000.00"
Thu nhập từ hoạt động dịch vụ,"3,652,899,000,000.00","3,341,451,000,000.00","2,901,827,000,000.00","2,835,950,000,000.00","3,310,266,000,000.00","3,091,737,000,000.00","3,178,353,000,000.00","3,125,194,000,000.00","2,837,517,000,000.00","2,874,899,000,000.00","3,141,453,000,000.00","3,115,601,000,000.00","3,219,102,000,000.00","3,462,303,000,000.00","4,292,256,000,000.00"
chi phí hoạt động dịch vụ,"-1,867,318,000,000.00","-1,340,780,000,000.00","-1,117,648,000,000.00","-1,020,780,000,000.00","-1,756,457,000,000.00","-1,312,984,000,000.00","-1,292,117,000,000.00","-1,323,745,000,000.00","-1,607,967,000,000.00","-1,264,360,000,000.00","-1,707,237,000,000.00","-1,528,347,000,000.00","-1,522,160,000,000.00","-1,615,259,000,000.00","-2,023,664,000,000.00"
Lãi thuần từ hoạt động dịch vụ,"1,785,581,000,000.00","2,000,671,000,000.00","1,784,179,000,000.00","1,815,170,000,000.00","1,553,809,000,000.00","1,778,753,000,000.00","1,886,236,000,000.00","1,801,449,000,000.00","1,229,550,000,000.00","1,610,539,000,000.00","1,434,216,000,000.00","1,587,254,000,000.00","1,696,942,000,000.00","1,847,044,000,000.00","2,268,592,000,000.00"
Lãi/(lỗ) thuần từ hoạy động kinh doanh ngoại hối và vàng,"1,129,622,000,000.00","1,172,650,000,000.00","1,176,766,000,000.00","1,135,313,000,000.00","763,380,000,000.00","1,344,217,000,000.00","1,186,105,000,000.00","608,810,000,000.00","1,057,550,000,000.00","912,866,000,000.00","1,106,104,000,000.00","546,197,000,000.00","555,334,000,000.00","1,084,689,000,000.00","925,421,000,000.00"
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,"-10,320,000,000.00","28,015,000,000.00","201,509,000,000.00","-19,950,000,000.00","82,990,000,000.00","38,253,000,000.00","24,649,000,000.00","16,411,000,000.00","12,516,000,000.00","238,195,000,000.00","213,219,000,000.00","216,030,000,000.00","36,349,000,000.00","23,202,000,000.00","36,108,000,000.00"
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,"70,285,000,000.00","14,889,000,000.00","1,967,000,000.00","-12,987,000,000.00","-157,990,000,000.00","-106,162,000,000.00","-33,548,000,000.00","-201,712,000,000.00","53,378,000,000.00","90,960,000,000.00","30,591,000,000.00","14,261,000,000.00","16,758,000,000.00","392,393,000,000.00","2,882,000,000.00"
Thu nhập từ hoạt động khác,"1,403,975,000,000.00","1,205,592,000,000.00","2,076,206,000,000.00","1,735,446,000,000.00","2,009,290,000,000.00","1,279,714,000,000.00","2,138,199,000,000.00","4,377,345,000,000.00","2,892,475,000,000.00","2,241,243,000,000.00","2,545,568,000,000.00","3,289,637,000,000.00","3,696,354,000,000.00","2,679,384,000,000.00","2,711,027,000,000.00"
