"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Data Title","BALANCE SHEEET","","","","","","","","","","","","","",""
"Date Of Extract","8/25/2026","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"CHỈ TIÊU","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q2 2026"
"TỔNG TÀI SẢN","51,655,408,644,948.00","50,741,161,416,448.00","60,524,394,513,231.00","62,112,676,348,644.00","60,325,276,051,932.00","62,024,705,048,429.00","65,286,245,628,524.00","67,581,587,131,382.00","71,999,995,678,620.00","73,997,673,121,789.00","81,266,075,455,371.00","82,738,304,930,449.00","88,141,991,634,625.00","68,586,094,785,217.00","73,563,105,859,500.00"
"TÀI SẢN NGẮN HẠN","30,933,924,692,832.00","29,524,492,711,606.00","38,758,427,341,944.00","39,531,943,273,981.00","36,709,543,350,385.00","37,679,149,034,489.00","40,835,231,143,696.00","42,605,105,704,316.00","45,535,942,846,453.00","46,075,510,989,597.00","52,711,179,992,741.00","53,632,976,863,548.00","58,137,438,254,908.00","41,527,873,060,120.00","45,603,129,033,273.00"
"Tiền và tương đương tiền","6,440,177,174,268.00","3,289,424,451,229.00","6,236,475,101,406.00","7,153,625,069,795.00","8,279,156,683,221.00","6,341,457,504,996.00","6,836,262,549,195.00","7,935,632,407,357.00","9,315,440,438,884.00","6,755,645,214,252.00","10,019,630,995,136.00","9,853,512,731,370.00","10,522,105,729,992.00","7,993,577,611,642.00","8,843,161,132,730.00"
"Tiền","3,880,860,111,126.00","3,068,013,165,452.00","4,116,495,111,876.00","4,868,732,047,232.00","5,975,127,685,903.00","5,411,920,365,956.00","5,619,992,039,480.00","5,251,361,305,952.00","6,725,619,929,289.00","5,342,746,710,936.00","7,755,450,852,909.00","7,677,693,654,613.00","8,084,751,080,186.00","5,022,685,693,032.00","5,829,076,231,076.00"
"Các khoản tương đương tiền","2,559,317,063,142.00","221,411,285,777.00","2,119,979,989,530.00","2,284,893,022,563.00","2,304,028,997,318.00","929,537,139,040.00","1,216,270,509,715.00","2,684,271,101,405.00","2,589,820,509,595.00","1,412,898,503,316.00","2,264,180,142,227.00","2,175,819,076,757.00","2,437,354,649,806.00","2,970,891,918,610.00","3,014,084,901,654.00"
"Giá trị thuần đầu tư ngắn hạn","13,036,072,272,619.00","13,860,719,245,281.00","20,451,941,376,989.00","19,618,195,845,890.00","16,104,205,358,010.00","18,230,159,723,426.00","19,916,062,543,669.00","19,442,595,123,064.00","21,785,213,686,808.00","23,768,377,985,785.00","26,619,399,709,978.00","27,125,585,559,832.00","29,630,986,737,440.00","18,751,535,880,407.00","20,128,417,972,525.00"
"Đầu tư ngắn hạn","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Dự phòng đầu tư ngắn hạn","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Chứng khoán đầu tư giữ đến ngày đáo hạn","13,036,072,272,619.00","13,860,719,245,281.00","20,451,941,376,989.00","19,618,195,845,890.00","16,104,205,358,010.00","18,230,159,723,426.00","19,916,062,543,669.00","19,442,595,123,064.00","21,785,213,686,808.00","23,768,377,985,785.00","26,619,399,709,978.00","27,125,585,559,832.00","29,630,986,737,440.00","18,787,408,055,631.00","20,164,396,983,344.00"
"Các khoản phải thu","8,510,152,205,706.00","9,293,933,666,296.00","9,006,495,599,449.00","9,819,319,720,327.00","9,533,935,053,243.00","10,054,871,366,217.00","10,992,515,047,452.00","11,875,150,699,489.00","11,381,523,992,803.00","11,997,831,491,115.00","12,525,313,635,530.00","13,077,014,449,004.00","14,402,017,450,105.00","12,347,990,314,058.00","13,337,195,685,489.00"
