"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Data Title","CASH FLOW STATEMENT","","","","","","","","","","","","","",""
"Date Of Extract","8/25/2026","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q2 2026"
"Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh","1,998,631,078,604.00","-1,426,695,218,855.00","3,267,770,630,997.00","3,703,972,983,109.00","3,975,063,117,468.00","-657,601,355,178.00","3,728,877,548,498.00","3,235,944,796,986.00","5,396,556,198,562.00","-2,506,903,722,401.00","4,190,477,000,730.00","4,344,020,060,779.00","4,108,450,576,803.00","-2,847,813,717,192.00","1,702,147,711,404.00"
"Lãi/lỗ trước những thay đổi vốn lưu động","2,794,888,530,042.00","2,274,692,565,793.00","2,510,529,381,933.00","2,848,993,307,319.00","3,284,105,396,667.00","3,009,785,032,818.00","3,000,873,565,027.00","3,591,627,938,813.00","4,024,558,431,831.00","3,344,250,339,399.00","3,323,397,798,634.00","3,830,670,228,989.00","4,317,042,204,916.00","2,485,846,238,959.00","2,042,514,062,361.00"
"Lãi trước thuế","1,989,028,630,914.00","2,120,643,647,098.00","2,218,132,633,347.00","2,429,150,459,859.00","2,435,092,799,591.00","2,533,582,054,552.00","2,668,968,551,824.00","2,908,620,633,374.00","2,958,495,178,069.00","3,024,693,510,849.00","3,141,032,584,460.00","3,374,738,598,090.00","3,503,168,140,398.00","2,803,844,281,676.00","2,910,392,034,484.00"
"Khấu hao TSCĐ","500,029,827,304.00","510,016,474,629.00","542,326,870,002.00","557,527,595,017.00","676,678,338,463.00","617,374,340,526.00","630,349,712,236.00","644,267,304,242.00","643,307,118,661.00","644,023,121,646.00","721,965,579,781.00","734,178,712,672.00","814,010,946,633.00","409,926,454,508.00","434,700,759,221.00"
"Phân bổ lợi thế thương mại","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Chi phí dự phòng","616,541,583,535.00","127,203,042,533.00","27,037,979,804.00","15,169,771,232.00","470,735,400,917.00","81,105,147,752.00","14,203,632,656.00","184,625,096,550.00","869,017,513,957.00","85,128,981,266.00","57,938,863,082.00","47,498,611,636.00","460,839,826,670.00","67,698,461,987.00","-243,980,987,282.00"
"Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện","58,787,739,060.00","9,089,996,756.00","-100,962,353,080.00","126,189,249,999.00","-68,387,251,886.00","-22,556,832,506.00","-42,817,780,646.00","181,991,482,518.00","-70,305,066,169.00","-71,839,057,689.00","-64,717,262,394.00","29,175,508,927.00","79,604,350,765.00","64,372,325,595.00","-39,196,611,562.00"
"Lãi/(lỗ) từ thanh lý tài sản cố định","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Lãi/(lỗ) từ hoạt động đầu tư","-526,082,534,268.00","-640,246,263,497.00","-388,369,753,500.00","-544,698,633,183.00","-436,657,963,650.00","-337,553,397,592.00","-419,955,973,144.00","-456,702,528,472.00","-510,810,581,685.00","-490,145,755,006.00","-749,583,262,000.00","-588,504,116,817.00","-747,606,912,187.00","-1,039,456,492,471.00","-1,231,983,872,126.00"
"Chi phí lãi vay","156,583,283,497.00","147,985,668,274.00","212,364,005,360.00","265,654,864,395.00","206,644,073,232.00","137,833,720,086.00","150,125,422,101.00","128,825,950,601.00","134,854,268,998.00","152,389,538,333.00","216,761,295,705.00","233,582,914,481.00","207,025,852,637.00","179,461,207,664.00","212,582,739,626.00"
