"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Data Title","INCOME STATEMENT","","","","","","","","","","","","","",""
"Date Of Extract","8/25/2026","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"CHỈ TIÊU","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q2 2026"
"Doanh số","13,053,462,794,764.00","11,683,021,258,544.00","12,484,515,133,084.00","13,761,831,884,948.00","14,695,806,584,757.00","14,093,297,397,476.00","15,245,892,288,520.00","15,972,397,069,700.00","17,651,065,378,939.00","16,064,980,391,264.00","16,658,335,760,739.00","17,225,507,121,683.00","20,258,865,670,867.00","12,485,836,704,352.00","13,810,340,987,151.00"
"Các khoản giảm trừ","-11,036,523,655.00","-1,642,375,241.00","-150,868,182.00","-86,909,091.00","-5,393,881,434.00","-368,983,777.00","-665,872,500.00","-69,575,353,943.00","-43,247,573,048.00","-6,839,448,804.00","-33,622,720,672.00","-20,985,896,381.00","-33,415,777,986.00","-5,839,497,577.00","-21,837,525,952.00"
"Doanh số thuần","13,042,426,271,109.00","11,681,378,883,303.00","12,484,364,264,902.00","13,761,744,975,857.00","14,690,412,703,323.00","14,092,928,413,699.00","15,245,226,416,020.00","15,902,821,715,757.00","17,607,817,805,891.00","16,058,140,942,460.00","16,624,713,040,067.00","17,204,521,225,302.00","20,225,449,892,881.00","12,479,997,206,775.00","13,788,503,461,199.00"
"Giá vốn hàng bán","-7,801,152,486,947.00","-7,113,499,882,609.00","-7,850,539,957,865.00","-8,265,376,008,841.00","-9,058,549,143,162.00","-8,582,462,733,612.00","-9,593,869,093,122.00","-9,743,866,051,351.00","-11,230,248,103,366.00","-9,756,793,038,194.00","-10,603,672,997,092.00","-10,685,654,746,292.00","-13,178,174,806,719.00","-8,235,107,316,087.00","-9,508,759,180,985.00"
"Lãi gộp","5,241,273,784,162.00","4,567,879,000,694.00","4,633,824,307,037.00","5,496,368,967,016.00","5,631,863,560,161.00","5,510,465,680,087.00","5,651,357,322,898.00","6,158,955,664,406.00","6,377,569,702,525.00","6,301,347,904,266.00","6,021,040,042,975.00","6,518,866,479,010.00","7,047,275,086,162.00","4,244,889,890,688.00","4,279,744,280,214.00"
"Thu nhập tài chính","526,329,659,816.00","676,476,546,426.00","623,044,115,643.00","516,203,046,415.00","520,345,470,835.00","457,092,979,986.00","569,292,544,523.00","326,689,006,856.00","582,674,583,940.00","573,331,893,191.00","1,237,012,067,887.00","613,110,473,502.00","553,701,922,193.00","415,863,869,179.00","582,702,088,944.00"
"Chi phí tài chính","-644,381,295,008.00","-496,815,340,139.00","-287,498,451,679.00","-406,428,287,129.00","-527,556,384,763.00","-334,065,273,301.00","-337,927,906,368.00","-308,178,806,879.00","-831,375,395,433.00","-311,343,769,364.00","-531,385,256,080.00","-352,575,079,871.00","-476,744,596,151.00","-367,211,384,721.00","-301,567,378,414.00"
"Trong đó: Chi phí lãi vay","-156,583,283,497.00","-147,985,668,274.00","-212,364,005,360.00","-265,654,864,395.00","-206,644,073,232.00","-137,833,720,086.00","-150,125,422,101.00","-128,825,950,601.00","-134,854,268,998.00","-152,389,538,333.00","-216,761,295,705.00","-233,582,914,481.00","-207,025,852,637.00","-179,461,207,664.00","-212,582,739,626.00"
"Lãi/(lỗ) từ công ty liên doanh","98,197,938,512.00","43,757,073,944.00","-65,748,307,687.00","39,896,110,382.00","58,146,301,170.00","74,454,138,017.00","58,601,427,292.00","142,580,948,775.00","116,894,742,188.00","136,730,336,838.00","106,714,935,715.00","130,833,425,587.00","283,746,137,174.00","666,841,270,147.00","756,557,226,203.00"
"Chi phí bán hàng","-1,481,341,041,915.00","-1,101,871,534,159.00","-1,238,296,534,096.00","-1,434,174,354,947.00","-1,316,156,285,395.00","-1,368,948,625,743.00","-1,588,212,329,172.00","-1,563,862,943,636.00","-1,594,938,073,232.00","-1,828,785,929,282.00","-1,790,295,896,888.00","-1,916,582,832,643.00","-2,026,995,981,641.00","-1,002,337,155,317.00","-1,149,052,845,981.00"
"Chi phí quản lý doanh  nghiệp","-1,761,816,901,184.00","-1,592,492,464,630.00","-1,475,558,757,945.00","-1,773,504,449,852.00","-1,979,944,371,544.00","-1,823,471,776,014.00","-1,712,658,095,576.00","-1,807,957,864,952.00","-1,729,950,878,232.00","-1,877,437,056,836.00","-1,913,677,311,579.00","-1,647,276,732,839.00","-1,898,934,296,550.00","-1,210,282,662,926.00","-1,282,674,105,890.00"
"Lãi/(lỗ) từ hoạt động kinh doanh","1,978,262,144,383.00","2,096,933,282,136.00","2,189,766,371,273.00","2,438,361,031,885.00","2,386,698,290,464.00","2,515,527,123,032.00","2,640,452,963,597.00","2,948,226,004,570.00","2,920,874,681,756.00","2,993,843,378,813.00","3,129,408,582,030.00","3,346,375,732,746.00","3,482,048,271,187.00","2,747,763,827,050.00","2,885,709,265,076.00"
"Thu nhập khác","67,004,874,960.00","42,879,374,489.00","46,978,996,702.00","46,849,960,698.00","64,518,573,767.00","44,782,907,585.00","27,511,312,610.00","34,674,999,189.00","68,481,380,356.00","39,212,521,539.00","28,751,046,396.00","34,839,399,621.00","40,089,602,924.00","61,674,012,142.00","28,202,699,736.00"
