,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,BALANCE SHEEET,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
TỔNG TÀI SẢN,"52,400,888,928,812.00","52,618,579,625,117.00","52,437,562,044,600.00","54,283,744,195,238.00","55,076,155,990,649.00","53,893,336,448,374.00","52,441,004,778,759.00","53,616,967,576,037.00","53,782,318,218,822.00","56,517,726,006,281.00","59,181,325,516,877.00","65,251,034,074,561.00","73,592,590,903,667.00","87,015,108,842,152.00","85,739,822,485,595.00"
TÀI SẢN NGẮN HẠN,"19,831,788,602,298.00","20,196,228,591,405.00","19,907,364,945,254.00","20,590,977,502,765.00","20,260,814,853,429.00","19,474,641,675,559.00","22,400,453,212,505.00","23,343,384,968,191.00","22,828,907,651,783.00","25,588,182,776,246.00","26,566,245,825,910.00","31,982,773,615,063.00","39,414,126,385,838.00","48,969,753,049,702.00","41,485,375,029,412.00"
Tiền và tương đương tiền,"3,161,701,165,781.00","4,065,754,410,223.00","3,644,263,918,422.00","3,895,460,589,071.00","3,315,750,993,715.00","3,212,075,589,072.00","4,315,827,075,586.00","2,706,337,002,493.00","4,074,201,905,889.00","4,254,129,736,742.00","3,817,206,495,630.00","4,682,232,720,926.00","8,659,541,542,782.00","5,127,135,467,527.00","5,738,939,098,562.00"
Tiền,"1,933,686,804,164.00","2,834,213,778,504.00","1,424,561,968,538.00","2,262,682,179,973.00","2,303,490,600,130.00","2,415,117,722,135.00","3,626,000,320,713.00","1,632,299,851,496.00","2,033,549,142,307.00","2,045,139,663,496.00","2,887,206,629,234.00","2,811,927,482,872.00","3,300,072,421,287.00","3,045,879,848,357.00","3,785,564,330,291.00"
Các khoản tương đương tiền,"1,228,014,361,617.00","1,231,540,631,719.00","2,219,701,949,884.00","1,632,778,409,098.00","1,012,260,393,585.00","796,957,866,937.00","689,826,754,873.00","1,074,037,150,997.00","2,040,652,763,582.00","2,208,990,073,246.00","929,999,866,396.00","1,870,305,238,054.00","5,359,469,121,495.00","2,081,255,619,170.00","1,953,374,768,271.00"
Giá trị thuần đầu tư ngắn hạn,"2,520,704,273,989.00","2,422,545,790,387.00","3,225,098,269,028.00","2,812,183,890,831.00","4,120,212,573,328.00","3,186,204,754,240.00","3,945,345,287,567.00","5,449,757,033,695.00","5,042,691,984,219.00","5,958,545,154,837.00","6,994,722,062,374.00","7,877,899,034,614.00","9,967,194,691,272.00","11,995,107,992,222.00","11,609,577,764,538.00"
Đầu tư ngắn hạn,"2,171,365,550,185.00","2,362,690,841,664.00","2,423,845,847,205.00","2,095,963,208,509.00","3,385,232,291,770.00","2,455,715,395,039.00","3,208,355,830,459.00","4,994,038,572,579.00","4,547,632,976,936.00","4,813,501,501,217.00","5,012,257,655,819.00","6,608,005,522,347.00","7,425,638,789,063.00","6,673,915,276,373.00","6,062,611,308,398.00"
Dự phòng đầu tư ngắn hạn,"-2,525,400,000.00","-147,186,900,000.00","-49,833,122,571.00","-48,034,710,570.00","-31,239,176,854.00","-9,754,472,847.00","-13,656,865,700.00","-46,666,682,082.00","-23,975,524,800.00","-41,162,971,495.00","-21,496,760,279.00","-52,951,142,211.00","-137,184,567,815.00","-102,503,179,028.00","-167,795,816,453.00"
Chứng khoán đầu tư giữ đến ngày đáo hạn,"351,864,123,804.00","207,041,848,723.00","851,085,544,394.00","764,255,392,892.00","766,219,458,412.00","740,243,832,048.00","750,646,322,808.00","502,385,143,198.00","519,034,532,083.00","1,186,206,625,115.00","2,003,961,166,834.00","1,322,844,654,478.00","2,678,740,470,024.00","5,423,695,894,877.00","5,719,047,272,593.00"
Các khoản phải thu,"4,186,720,075,272.00","4,345,280,778,854.00","3,883,196,674,770.00","4,442,619,286,006.00","3,425,216,337,890.00","3,673,310,195,670.00","3,696,636,020,995.00","4,611,366,696,024.00","4,037,190,024,768.00","4,795,667,869,078.00","4,384,984,214,097.00","8,227,022,233,502.00","4,996,929,157,208.00","11,006,275,170,553.00","5,189,848,831,197.00"
Phải thu khách hàng,"2,739,688,858,814.00","2,953,612,301,549.00","3,029,979,044,731.00","3,473,737,735,062.00","2,704,657,911,832.00","2,733,387,763,557.00","2,296,745,843,783.00","2,509,856,168,339.00","2,335,783,771,095.00","2,712,598,395,325.00","2,509,768,813,248.00","2,598,605,217,558.00","2,494,564,240,752.00","2,947,471,027,908.00","3,920,775,290,199.00"
Trả trước người bán,"1,147,841,372,563.00","1,200,406,833,303.00","792,274,516,506.00","873,104,836,861.00","561,093,172,392.00","656,117,991,299.00","802,879,502,522.00","1,049,670,719,649.00","1,211,916,380,704.00","1,786,653,128,748.00","1,369,632,945,141.00","1,648,964,781,385.00","1,296,315,799,500.00","7,387,795,469,000.00","1,180,279,322,757.00"
Phải thu nội bộ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phải thu về XDCB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phải thu về cho vay ngắn hạn,"14,800,000,000.00","9,700,000,000.00","19,700,000,000.00","19,700,000,000.00","4,500,000,000.00","4,500,000,000.00","493,000,000,000.00","540,430,144,247.00","115,075,000,000.00","92,950,000,000.00","112,950,000,000.00","549,950,000,000.00","549,950,000,000.00",0.00,0.00
Phải thu khác,"848,180,588,657.00","741,225,995,949.00","558,878,404,601.00","595,963,645,289.00","688,740,776,259.00","811,729,381,732.00","592,161,791,484.00","994,638,852,970.00","865,367,477,127.00","719,127,478,980.00","939,562,696,299.00","4,011,819,023,761.00","1,212,984,853,411.00","1,221,729,512,825.00","644,339,524,702.00"
Dự phòng nợ khó đòi,"-563,790,744,762.00","-559,664,351,947.00","-517,635,291,068.00","-519,886,931,206.00","-533,775,522,593.00","-532,424,940,918.00","-488,151,116,794.00","-483,229,189,181.00","-490,952,604,158.00","-515,661,133,975.00","-546,930,240,591.00","-582,316,789,202.00","-556,885,736,455.00","-550,720,839,180.00","-555,545,306,461.00"
Tài sản thiếu chờ xử lý,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Hàng tồn kho, ròng","9,132,781,735,988.00","8,410,275,643,807.00","8,230,707,875,399.00","8,488,927,102,753.00","8,324,636,604,027.00","8,357,970,587,103.00","9,289,692,828,737.00","9,356,391,561,316.00","8,684,599,751,876.00","9,489,947,547,752.00","10,140,996,533,456.00","9,929,618,829,943.00","14,454,964,441,243.00","19,405,774,455,895.00","17,267,149,668,593.00"
Hàng tồn kho,"9,303,355,096,782.00","8,577,756,890,882.00","8,411,257,807,079.00","8,666,568,766,726.00","8,589,313,239,442.00","8,593,735,583,736.00","9,467,864,762,729.00","9,555,597,199,118.00","8,879,344,974,669.00","9,678,157,395,514.00","10,406,236,812,857.00","10,172,631,466,311.00","14,701,100,664,449.00","19,584,637,516,131.00","17,452,109,666,165.00"
Dự phòng giảm giá HTK,"-170,573,360,794.00","-167,481,247,075.00","-180,549,931,680.00","-177,641,663,973.00","-264,676,635,415.00","-235,764,996,633.00","-178,171,933,992.00","-199,205,637,802.00","-194,745,222,793.00","-188,209,847,762.00","-265,240,279,401.00","-243,012,636,368.00","-246,136,223,206.00","-178,863,060,236.00","-184,959,997,572.00"
Tài sản lưu động khác,"829,881,351,268.00","952,371,968,134.00","924,098,207,635.00","951,786,634,104.00","1,074,998,344,469.00","1,045,080,549,474.00","1,152,951,999,620.00","1,219,532,674,663.00","990,223,985,031.00","1,089,892,467,837.00","1,228,336,520,353.00","1,266,000,796,078.00","1,335,496,553,333.00","1,435,459,963,505.00","1,679,859,666,522.00"
Trả trước ngắn hạn,"87,432,340,684.00","154,842,595,070.00","124,515,009,042.00","97,091,077,323.00","73,776,459,497.00","118,320,589,734.00","120,793,684,770.00","160,903,589,679.00","69,011,887,537.00","86,302,170,392.00","145,046,261,431.00","101,370,857,679.00","79,095,047,659.00","137,737,776,207.00","133,742,980,289.00"
Thuế VAT phải thu,"699,531,110,417.00","737,051,280,019.00","724,027,353,695.00","784,477,420,212.00","905,024,475,775.00","872,114,396,266.00","964,660,799,565.00","1,010,293,431,417.00","873,267,399,664.00","920,985,895,388.00","1,026,800,315,557.00","1,114,546,505,974.00","1,225,058,506,312.00","1,266,814,992,282.00","1,423,510,814,573.00"
