,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,"1,473,334,115,885.00","299,734,809,839.00","2,706,601,463,896.00","1,286,458,257,863.00","196,931,676,891.00","618,863,383,353.00","-1,031,853,158,907.00","-1,350,174,665,190.00","4,272,395,089,628.00","-1,195,383,347,320.00","2,066,907,224,602.00","-2,825,899,056,038.00","2,500,594,817,802.00","-2,856,708,735,614.00","3,942,937,288,494.00"
Lãi/lỗ trước những thay đổi vốn lưu động,"1,247,458,492,988.00","1,740,199,460,138.00","2,226,776,330,207.00","1,860,647,752,195.00","1,131,917,408,097.00","1,649,770,426,832.00","1,255,832,027,117.00","1,390,664,212,880.00","2,129,771,071,469.00","1,868,411,722,132.00","2,524,929,146,322.00","2,119,313,663,681.00","1,986,625,151,176.00","1,788,313,241,498.00","2,423,461,172,618.00"
Lãi trước thuế,"326,309,324,725.00","143,801,432,376.00","870,358,213,225.00","374,009,805,527.00","9,931,140,596.00","385,033,243,521.00","1,383,092,893,741.00","501,624,284,138.00","1,343,082,876,957.00","645,517,619,044.00","1,544,956,532,364.00","1,252,623,797,254.00","1,177,892,569,323.00","806,315,423,458.00","1,809,233,530,949.00"
Khấu hao TSCĐ,"666,335,871,108.00","1,142,526,226,640.00","1,243,714,032,850.00","1,054,738,990,844.00","756,063,897,676.00","1,001,754,910,700.00","683,667,126,200.00","537,575,142,400.00","711,920,938,967.00","1,043,992,907,416.00","784,892,340,088.00","619,686,162,122.00","789,506,833,758.00","693,528,771,573.00","239,373,267,044.00"
Phân bổ lợi thế thương mại,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chi phí dự phòng,"16,317,925,643.00","162,532,908,504.00","-145,461,034,635.00","-3,212,180,925.00","81,453,007,079.00","-42,229,499,904.00","-19,448,810,805.00","50,705,689,946.00","-10,316,885,868.00","-28,381,882,447.00","150,446,407,222.00","59,341,246,594.00","-267,432,930,585.00","-90,048,915,346.00","91,099,126,921.00"
Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,"-51,154,225,289.00","-3,392,089,404.00","7,863,604,937.00","63,973,459,342.00","-18,269,415,979.00","34,736,060,403.00","-38,678,222,245.00","-2,141,730,708.00","11,267,709,417.00","593,167,224.00","-1,224,036,326.00","-1,197,231,406.00","-13,403,504,737.00","61,538,298,847.00","8,562,322,217.00"
Lãi/(lỗ) từ thanh lý tài sản cố định,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lãi/(lỗ) từ hoạt động đầu tư,"-42,985,831,527.00","-61,081,792,030.00","-109,540,748,103.00","5,999,877,865.00","-33,211,101,976.00","-38,128,302,851.00","-1,031,723,551,299.00","52,139,672,133.00","-228,572,613,604.00","-42,671,553,214.00","-184,604,190,362.00","-139,385,452,796.00","-62,008,155,066.00","-94,421,104,882.00","-253,779,530,797.00"
Chi phí lãi vay,"332,635,428,328.00","355,812,774,052.00","359,842,261,933.00","365,137,799,544.00","335,949,880,699.00","308,604,014,963.00","278,922,591,525.00","250,761,154,971.00","262,389,045,600.00","249,361,464,109.00","277,215,344,020.00","328,245,141,913.00","362,070,338,483.00","411,400,767,848.00","574,678,401,791.00"
Thu lãi và cổ tức,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Các khoản điều chỉnh khác,0.00,0.00,0.00,-2.00,2.00,0.00,0.00,0.00,"40,000,000,000.00",0.00,"-46,753,250,684.00",0.00,0.00,0.00,"-45,705,945,507.00"
(Tăng)/giảm các khoản phải thu,"184,718,021,119.00","-206,276,680,696.00","478,307,570,489.00","-744,612,688,971.00","851,188,945,809.00","-149,757,737,353.00","180,867,603,553.00","-861,863,616,529.00","323,251,954,732.00","-950,766,127,780.00","-91,519,874,265.00","-3,495,633,574,185.00","3,394,704,213,097.00","-5,438,097,908,721.00","4,013,001,265,093.00"
(Tăng)/giảm hàng tồn kho,"458,216,067,756.00","703,129,238,890.00","172,364,480,023.00","-260,238,296,718.00","77,255,527,284.00","-5,436,267,130.00","-873,651,688,078.00","-87,732,436,389.00","622,789,155,784.00","-407,745,208,264.00","-443,519,221,410.00","249,872,170,710.00","-503,748,985,969.00","314,964,080,355.00","-2,181,731,408,146.00"
Tăng/(giảm) các khoản phải trả,"-43,832,861,634.00","-1,139,452,773,365.00","262,096,239,469.00","593,210,300,294.00","-269,939,110,754.00","-1,228,197,811,044.00","-312,607,168,816.00","320,670,918,469.00","1,246,607,308,162.00","-632,413,726,981.00","760,251,960,125.00","357,282,403,349.00","-907,006,924,158.00","1,356,173,700,934.00","-156,866,043,957.00"
( Tăng)/giảm chi phí trả trước,"63,594,809,835.00","-34,723,101,856.00","-13,519,195,922.00","38,305,550,198.00","80,546,445,969.00","80,379,487,676.00","-193,305,876,195.00","-10,299,280,134.00","181,482,004,379.00","-32,319,988,594.00","-184,455,036,532.00","510,762,415.00","-7,957,275,355.00","-97,444,504,877.00","2,497,404,961.00"
(Tăng)/giảm chứng khoán kinh doanh,"158,804,557,298.00","-191,325,291,479.00","-61,155,005,541.00","327,882,638,696.00","-1,289,269,083,261.00","929,516,896,731.00","-752,640,435,420.00","-1,785,682,742,120.00","446,405,595,643.00","-265,868,524,281.00","-198,756,154,602.00","-1,595,747,866,528.00","-817,633,266,716.00","751,723,512,690.00","592,122,722,493.00"
Chi phí lãi vay đã trả,"-360,926,899,339.00","-338,813,540,554.00","-366,915,644,127.00","-344,460,683,624.00","-345,507,824,887.00","-288,110,963,006.00","-292,735,490,267.00","-232,044,186,147.00","-278,827,998,080.00","-218,313,788,843.00","-265,781,149,359.00","-274,471,714,021.00","-375,985,249,648.00","-342,303,320,500.00","-603,225,935,915.00"
Thuế thu nhập doanh nghiệp đã trả,"-207,137,287,873.00","-201,694,380,232.00","28,207,564,190.00","-169,159,783,431.00","-114,299,650,282.00","-340,570,867,187.00","-31,534,488,227.00","-48,305,238,018.00","-362,925,839,215.00","-523,602,874,200.00","-7,859,901,894.00","-172,386,406,481.00","-239,299,199,120.00","-1,164,184,054,822.00","-129,977,984,616.00"
Tiền thu khác từ các hoạt động kinh doanh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tiền chi khác từ các hoạt động kinh doanh,"-27,560,784,265.00","-31,308,121,007.00","-19,560,874,892.00","-15,116,530,776.00","75,039,018,916.00","-28,729,782,166.00","-12,077,642,574.00","-35,582,297,202.00","-36,158,163,246.00","-32,764,830,509.00","-26,382,543,783.00","-14,638,494,978.00","-29,103,645,505.00","-25,853,482,171.00","-16,343,904,037.00"
Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,"-1,574,295,255,226.00","-845,483,949,339.00","-2,540,912,262,206.00","-2,042,521,058,292.00","-1,516,566,659,852.00","-731,271,244,637.00","1,932,599,210,989.00","-946,922,932,227.00","-1,220,990,723,510.00","-1,585,572,827,351.00","-2,574,822,486,846.00","1,832,408,076,484.00","-2,688,750,287,830.00","-10,896,368,229,893.00","-4,888,747,729,537.00"
Tiền mua tài sản cố định và các tài sản dài hạn khác,"-1,976,613,164,728.00","-1,196,381,411,492.00","-1,263,822,123,182.00","-1,446,039,898,534.00","-1,458,345,330,618.00","-808,983,217,006.00","-544,805,734,735.00","-1,177,069,824,384.00","-1,304,250,142,786.00","-1,441,761,875,379.00","-1,302,300,076,213.00","-1,237,064,785,001.00","-1,856,121,177,203.00","-869,452,471,421.00","-353,592,382,233.00"
Tiền thu được từ thanh lý tài sản cố định,"21,690,497,498.00","294,000,000.00","2,953,296,364.00","15,272,727.00","1,506,891,599.00","1,053,117,222.00","443,836,578.00","898,328,813.00","162,053,005.00","435,096,472.00","10,453,705,503.00","2,862,332,398.00","21,051,317,177.00","234,580,342.00","64,789,108,835.00"
Tiền cho vay hoặc mua công cụ nợ,"-6,000,000,000.00","-47,350,336,666.00","-1,096,366,672,749.00","604,959,000,000.00","-649,074,621,102.00","-28,550,869,185.00","-1,091,553,135,743.00","839,624,540,016.00","-1,007,608,159,875.00","-154,768,710,099.00","-1,762,997,886,227.00","-1,001,076,802,801.00","-2,022,213,355,956.00","-2,754,319,084,662.00","-1,825,988,174,249.00"
Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,"206,551,341,761.00","167,272,611,747.00","54,204,555,510.00","-502,419,404,592.00","556,552,511,909.00","31,978,929,041.00","675,487,226,900.00","-485,064,062,059.00","1,089,796,312,939.00","466,616,617,067.00","22,598,344,508.00","1,211,610,586,709.00","729,087,114,457.00","645,773,252,980.00","1,352,819,177,649.00"
