,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,INCOME STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Doanh số,"7,408,216,976,042.00","6,437,793,599,844.00","8,032,002,429,124.00","7,523,251,903,377.00","8,176,548,914,842.00","6,705,383,545,678.00","8,317,520,393,866.00","8,856,405,825,519.00","10,180,900,144,880.00","7,983,324,238,134.00","10,189,022,391,629.00","9,970,053,142,414.00","11,765,773,086,811.00","10,822,863,334,187.00","14,639,723,609,628.00"
Các khoản giảm trừ,"-46,795,047,605.00","-27,795,038,656.00","-36,254,573,551.00","-36,084,473,790.00","-71,365,321,493.00","-45,382,316,878.00","-69,238,061,183.00","-147,838,477,770.00","-45,445,641,139.00","-66,967,341,423.00","-69,787,544,982.00","-128,919,837,860.00","-129,969,983,770.00","-101,154,258,610.00","-159,728,832,552.00"
Doanh số thuần,"7,361,421,928,437.00","6,409,998,561,188.00","7,995,747,855,573.00","7,487,167,429,587.00","8,105,183,593,349.00","6,660,001,228,800.00","8,248,282,332,683.00","8,708,567,347,749.00","10,135,454,503,741.00","7,916,356,896,711.00","10,119,234,846,647.00","9,841,133,304,554.00","11,635,803,103,041.00","10,721,709,075,577.00","14,479,994,777,076.00"
Giá vốn hàng bán,"-6,050,266,672,985.00","-5,141,296,562,050.00","-6,308,121,027,394.00","-6,092,455,108,828.00","-6,946,193,538,868.00","-5,460,377,613,469.00","-6,752,458,758,134.00","-7,048,383,934,232.00","-7,728,899,577,003.00","-6,318,118,433,780.00","-7,780,467,002,243.00","-8,009,504,055,205.00","-8,987,898,668,073.00","-8,719,888,724,242.00","-11,505,232,266,844.00"
Lãi gộp,"1,311,155,255,452.00","1,268,701,999,138.00","1,687,626,828,179.00","1,394,712,320,759.00","1,158,990,054,481.00","1,199,623,615,331.00","1,495,823,574,549.00","1,660,183,413,517.00","2,406,554,926,738.00","1,598,238,462,931.00","2,338,767,844,404.00","1,831,629,249,349.00","2,647,904,434,968.00","2,001,820,351,335.00","2,974,762,510,232.00"
Thu nhập tài chính,"166,260,716,697.00","79,170,898,881.00","105,901,335,877.00","196,872,631,080.00","68,194,338,522.00","165,289,553,974.00","1,085,863,764,872.00","30,939,502,332.00","218,198,001,654.00","89,659,642,247.00","347,021,702,744.00","756,111,130,585.00","64,202,214,488.00","131,004,743,416.00","553,998,857,737.00"
Chi phí tài chính,"-506,788,905,424.00","-608,149,124,816.00","-331,865,101,974.00","-533,786,351,023.00","-415,402,902,598.00","-418,077,460,162.00","-494,372,298,705.00","-400,400,654,020.00","-377,052,166,385.00","-336,244,979,886.00","-332,615,048,501.00","-426,825,306,433.00","-674,349,133,954.00","-576,058,635,016.00","-760,804,802,171.00"
Trong đó: Chi phí lãi vay,"-340,163,319,149.00","-343,813,819,448.00","-350,060,650,003.00","-358,777,816,700.00","-326,339,204,120.00","-302,500,682,679.00","-273,012,420,235.00","-244,763,713,098.00","-256,769,371,594.00","-244,563,130,756.00","-272,521,446,568.00","-323,554,153,480.00","-357,291,573,549.00","-404,116,016,759.00","-581,963,152,880.00"
Lãi/(lỗ) từ công ty liên doanh,"-14,159,469,834.00","7,360,036,687.00","39,617,858,217.00","952,484,289.00","12,925,310,738.00","-8,554,214,323.00","-2,041,488,707.00","-26,944,102,418.00","74,540,097,660.00","-4,320,647,063.00","-2,104,027,260.00","38,262,692,547.00","100,030,565,901.00","48,761,821,521.00","59,458,454,593.00"
Chi phí bán hàng,"-325,035,958,021.00","-237,000,291,140.00","-298,161,056,599.00","-293,470,619,719.00","-311,205,619,370.00","-230,850,973,773.00","-316,095,643,314.00","-305,388,105,185.00","-426,302,837,484.00","-264,907,825,132.00","-374,751,535,952.00","-384,263,236,128.00","-404,398,501,234.00","-313,964,157,807.00","-391,126,755,996.00"
Chi phí quản lý doanh  nghiệp,"-364,168,821,857.00","-364,133,505,582.00","-315,480,130,962.00","-375,522,901,130.00","-520,631,350,927.00","-327,611,803,076.00","-392,995,771,846.00","-442,818,591,891.00","-586,866,370,612.00","-425,194,768,280.00","-458,833,481,885.00","-567,084,708,377.00","-616,669,094,522.00","-472,418,688,062.00","-574,824,058,563.00"
Lãi/(lỗ) từ hoạt động kinh doanh,"267,262,817,013.00","145,950,013,168.00","887,639,732,738.00","389,757,564,256.00","-7,130,169,154.00","379,818,717,971.00","1,376,182,136,849.00","515,571,462,335.00","1,309,071,651,571.00","657,229,884,817.00","1,517,485,453,550.00","1,247,829,821,543.00","1,116,720,485,647.00","819,145,435,387.00","1,861,464,205,832.00"
Thu nhập khác,"54,967,114,638.00","12,983,771,625.00","2,184,692,233.00","16,563,250,873.00","52,408,178,738.00","26,984,744,292.00","19,840,596,579.00","13,676,735,081.00","91,925,244,836.00","3,484,835,352.00","35,361,426,439.00","30,515,791,831.00","86,424,624,638.00","16,743,998,119.00","42,697,192,885.00"
Chi phí khác,"4,079,393,074.00","-15,132,352,417.00","-19,466,211,746.00","-32,311,009,602.00","-35,346,868,988.00","-21,770,218,742.00","-12,929,839,687.00","-27,623,913,278.00","-57,914,019,450.00","-15,197,101,125.00","-7,890,347,625.00","-25,721,816,120.00","-25,252,540,962.00","-29,574,010,048.00","-94,927,867,768.00"
"Thu nhập khác, ròng","59,046,507,712.00","-2,148,580,792.00","-17,281,519,513.00","-15,747,758,729.00","17,061,309,750.00","5,214,525,550.00","6,910,756,892.00","-13,947,178,197.00","34,011,225,386.00","-11,712,265,773.00","27,471,078,814.00","4,793,975,711.00","61,172,083,676.00","-12,830,011,929.00","-52,230,674,883.00"
