,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,BALANCE SHEEET,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
TỔNG TÀI SẢN,"170,335,521,637,131.00","175,408,611,174,320.00","176,243,321,739,441.00","173,507,011,684,572.00","187,782,586,563,801.00","201,940,225,528,507.00","206,609,079,731,195.00","211,386,343,928,118.00","224,489,707,553,981.00","228,861,587,788,307.00","242,224,530,919,050.00","246,171,338,287,652.00","257,899,200,817,547.00","259,327,500,205,228.00","278,929,786,015,406.00"
TÀI SẢN NGẮN HẠN,"80,514,710,854,455.00","85,412,137,003,655.00","84,903,568,227,057.00","78,482,566,275,784.00","82,716,439,173,043.00","94,032,457,790,196.00","84,466,831,221,789.00","80,841,803,394,106.00","86,674,276,272,995.00","88,914,195,573,724.00","97,613,904,938,535.00","95,425,988,115,582.00","103,659,402,759,724.00","104,365,180,994,071.00","119,968,988,620,841.00"
Tiền và tương đương tiền,"8,324,588,920,227.00","7,868,451,566,326.00","13,252,855,086,239.00","9,696,669,423,876.00","12,267,401,160,884.00","12,428,888,036,237.00","13,032,037,853,283.00","8,500,998,079,280.00","6,887,646,139,852.00","7,459,035,818,129.00","10,688,024,277,258.00","9,092,562,739,415.00","8,300,890,304,205.00","11,455,231,038,505.00","9,782,057,360,909.00"
Tiền,"3,458,049,733,104.00","2,277,800,566,326.00","4,042,254,726,239.00","5,978,902,713,876.00","3,771,595,160,884.00","6,475,979,036,237.00","5,550,323,853,283.00","2,781,657,706,285.00","2,919,531,945,908.00","3,098,950,890,534.00","3,313,840,111,274.00","2,690,506,955,882.00","4,602,047,650,138.00","3,614,809,922,085.00","2,221,354,791,923.00"
Các khoản tương đương tiền,"4,866,539,187,123.00","5,590,651,000,000.00","9,210,600,360,000.00","3,717,766,710,000.00","8,495,806,000,000.00","5,952,909,000,000.00","7,481,714,000,000.00","5,719,340,372,995.00","3,968,114,193,944.00","4,360,084,927,595.00","7,374,184,165,984.00","6,402,055,783,533.00","3,698,842,654,067.00","7,840,421,116,420.00","7,560,702,568,986.00"
Giá trị thuần đầu tư ngắn hạn,"26,268,246,676,354.00","27,420,903,628,936.00","22,848,207,160,936.00","19,957,222,511,116.00","22,161,903,502,481.00","22,271,418,573,603.00","15,314,673,148,945.00","16,386,803,148,945.00","18,974,716,730,905.00","16,212,510,112,252.00","17,584,027,436,423.00","18,903,949,054,642.00","19,484,412,761,405.00","24,267,452,864,302.00","27,473,893,817,143.00"
Đầu tư ngắn hạn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dự phòng đầu tư ngắn hạn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chứng khoán đầu tư giữ đến ngày đáo hạn,"26,268,246,676,354.00","27,420,903,628,936.00","22,848,207,160,936.00","19,957,222,511,116.00","22,161,903,502,481.00","22,271,418,573,603.00","15,314,673,148,945.00","16,386,803,148,945.00","18,974,716,730,905.00","16,212,510,112,252.00","17,584,027,436,423.00","18,903,949,054,642.00","19,484,412,761,405.00","24,267,452,864,302.00","27,473,893,817,143.00"
Các khoản phải thu,"9,892,869,502,308.00","13,830,143,965,796.00","14,298,660,297,800.00","12,506,103,872,593.00","10,702,136,439,996.00","12,105,116,296,231.00","10,392,801,855,660.00","9,140,948,029,240.00","7,647,800,286,988.00","10,856,053,423,195.00","12,334,925,649,801.00","13,727,194,725,111.00","15,042,323,117,690.00","16,692,782,771,439.00","18,040,238,720,080.00"
