,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,"5,439,594,182,682.00","-1,102,980,128,050.00","4,531,338,045,226.00","633,011,285,055.00","5,410,273,426,874.00","748,630,390,745.00","2,500,002,958,156.00","264,607,405,102.00","3,095,079,901,212.00","-2,777,940,446,480.00","3,285,102,529,955.00","8,294,398,995,676.00","8,564,297,977,440.00","6,816,755,450,021.00","5,253,680,177,765.00"
Lãi/lỗ trước những thay đổi vốn lưu động,"-669,092,197,501.00","240,797,645,970.00","5,373,322,692,692.00","5,089,809,199,246.00","5,571,098,556,698.00","4,349,823,418,043.00","6,571,122,801,543.00","5,595,706,353,956.00","4,955,838,305,029.00","6,167,571,626,331.00","6,972,923,079,928.00","7,109,245,317,259.00","8,377,332,797,054.00","9,742,914,944,288.00","11,309,386,962,049.00"
Lãi trước thuế,"-2,078,547,921,756.00","532,042,789,767.00","1,701,886,953,766.00","2,174,230,121,892.00","3,384,568,877,748.00","3,261,215,356,873.00","3,733,225,669,765.00","3,412,385,133,844.00","3,286,676,100,696.00","3,839,765,349,020.00","4,972,383,493,663.00","4,628,313,172,434.00","4,600,129,962,763.00","10,762,183,839,545.00","7,184,684,207,426.00"
Khấu hao TSCĐ,"1,722,687,479,263.00","1,648,185,800,262.00","1,662,354,940,325.00","1,721,774,737,926.00","1,741,097,551,767.00","1,721,816,264,528.00","1,729,640,974,153.00","1,771,185,761,423.00","1,693,028,331,093.00","1,801,603,135,468.00","1,617,247,528,510.00","2,169,156,032,825.00","2,882,676,563,353.00","2,854,213,903,270.00","2,851,263,156,834.00"
Phân bổ lợi thế thương mại,0.00,0.00,"6,049,970,652.00","-6,049,970,652.00",0.00,0.00,"6,049,970,652.00","-6,049,970,652.00","12,295,891,969.00",0.00,0.00,0.00,0.00,0.00,0.00
Chi phí dự phòng,"341,386,215,259.00","-941,109,168,744.00","-19,798,182,146.00","15,972,161,435.00","-149,104,888,269.00","10,669,816,792.00","162,022,519,725.00","-3,156,807,492.00","-61,035,121,811.00","11,289,113,084.00","-59,927,342,891.00","10,882,237,428.00","-12,074,483,403.00","-394,463,126.00","29,729,264,501.00"
Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,"-1,153,484,051,152.00","-70,212,986,899.00","186,695,827,590.00","327,203,956,815.00","-150,012,871,876.00","182,794,183,008.00","-30,290,605,919.00","-206,784,225,956.00","227,751,228,845.00","132,616,469,869.00","309,920,317,236.00","-56,814,712,069.00","-36,094,914,050.00","-93,187,660,506.00","36,508,026,287.00"
Lãi/(lỗ) từ thanh lý tài sản cố định,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lãi/(lỗ) từ hoạt động đầu tư,"-433,785,906,879.00","-1,917,697,628,031.00","807,566,211,073.00","700,000,000.00","33,606,206,324.00","-1,462,291,190,778.00","406,339,912,654.00","103,011,663,888.00","-765,370,789,609.00","-244,726,801,802.00","-305,813,548,010.00","-454,485,515,064.00","-293,829,106,766.00","-5,113,315,374,186.00","-312,411,561,122.00"
Chi phí lãi vay,"932,651,987,764.00","989,588,839,615.00","1,028,566,971,432.00","855,978,191,830.00","710,943,681,004.00","635,618,987,620.00","564,134,360,513.00","525,114,798,901.00","562,492,663,846.00","627,024,360,692.00","439,112,631,420.00","812,194,101,705.00","1,236,524,775,157.00","1,333,414,699,291.00","1,519,613,868,123.00"
