,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,INCOME STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Doanh số,"26,211,645,715,375.00","26,865,449,158,810.00","29,799,498,081,622.00","28,765,716,456,234.00","34,924,567,919,473.00","31,092,569,628,223.00","39,936,268,160,790.00","34,300,352,057,045.00","35,232,197,602,514.00","37,950,635,502,050.00","36,286,185,846,409.00","36,793,873,449,413.00","47,301,623,136,340.00","53,312,910,120,686.00","55,557,246,173,846.00"
Các khoản giảm trừ,"-385,913,871,540.00","-276,697,371,823.00","-303,114,703,307.00","-281,628,655,637.00","-540,762,991,718.00","-240,210,036,506.00","-380,758,333,336.00","-344,091,771,518.00","-741,215,175,825.00","-328,960,948,472.00","-375,666,735,200.00","-386,457,045,489.00","-1,125,138,586,569.00","-412,062,818,033.00","-398,343,874,945.00"
Doanh số thuần,"25,825,731,843,835.00","26,588,751,786,987.00","29,496,383,378,315.00","28,484,087,800,597.00","34,383,804,927,755.00","30,852,359,591,717.00","39,555,509,827,454.00","33,956,260,285,527.00","34,490,982,426,689.00","37,621,674,553,578.00","35,910,519,111,209.00","36,407,416,403,924.00","46,176,484,549,771.00","52,900,847,302,653.00","55,158,902,298,901.00"
Giá vốn hàng bán,"-26,710,981,787,039.00","-24,912,314,686,658.00","-26,301,396,413,465.00","-24,889,281,213,593.00","-29,912,194,884,366.00","-26,698,376,631,120.00","-34,308,029,337,809.00","-29,225,083,561,286.00","-30,126,073,473,488.00","-32,197,520,628,446.00","-29,320,796,625,500.00","-30,320,155,128,758.00","-39,779,834,052,596.00","-44,535,778,694,658.00","-44,671,115,105,470.00"
Lãi gộp,"-885,249,943,204.00","1,676,437,100,329.00","3,194,986,964,850.00","3,594,806,587,004.00","4,471,610,043,389.00","4,153,982,960,597.00","5,247,480,489,645.00","4,731,176,724,241.00","4,364,908,953,201.00","5,424,153,925,132.00","6,589,722,485,709.00","6,087,261,275,166.00","6,396,650,497,175.00","8,365,068,607,995.00","10,487,787,193,431.00"
Thu nhập tài chính,"1,540,966,414,075.00","903,451,916,285.00","732,942,078,525.00","850,624,544,181.00","732,316,277,875.00","751,955,374,195.00","645,060,096,530.00","528,453,174,917.00","700,560,102,056.00","438,057,240,540.00","498,183,728,007.00","711,903,358,963.00","437,280,867,832.00","5,938,347,436,208.00","616,702,745,168.00"
Chi phí tài chính,"-1,688,209,772,675.00","-1,330,510,709,605.00","-1,341,484,846,242.00","-1,438,378,265,232.00","-1,127,386,435,227.00","-1,060,613,282,413.00","-1,065,091,915,406.00","-832,902,574,260.00","-1,015,139,809,937.00","-970,569,640,998.00","-979,462,100,729.00","-1,073,210,620,638.00","-1,583,968,999,127.00","-1,868,827,249,709.00","-1,925,757,870,997.00"
Trong đó: Chi phí lãi vay,"-932,651,987,764.00","-989,588,839,615.00","-1,028,566,971,432.00","-855,978,191,830.00","-710,943,681,004.00","-635,618,987,620.00","-564,134,360,513.00","-525,114,798,901.00","-562,492,663,846.00","-627,024,360,692.00","-439,112,631,420.00","-812,194,101,705.00","-1,236,524,775,157.00","-1,333,414,699,291.00","-1,519,613,868,123.00"
Lãi/(lỗ) từ công ty liên doanh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"315,612,782.00","1,672,357,361.00"
Chi phí bán hàng,"-716,226,175,696.00","-476,983,465,069.00","-539,813,064,291.00","-577,844,331,409.00","-366,721,269,183.00","-640,378,790,675.00","-746,509,647,378.00","-720,208,188,679.00","-230,212,058,532.00","-737,815,718,816.00","-825,371,907,199.00","-798,965,987,739.00","-271,477,098,154.00","-1,344,969,024,100.00","-1,717,603,199,584.00"
Chi phí quản lý doanh  nghiệp,"-342,729,735,482.00","-280,501,386,549.00","-331,614,130,813.00","-301,003,551,619.00","-394,171,267,892.00","-317,278,495,246.00","-389,417,899,107.00","-321,501,544,741.00","-517,318,083,678.00","-347,243,794,856.00","-322,285,873,598.00","-355,963,309,576.00","-411,044,379,459.00","-385,901,879,604.00","-307,796,866,973.00"
Lãi/(lỗ) từ hoạt động kinh doanh,"-2,091,449,212,982.00","491,893,455,391.00","1,715,017,002,029.00","2,128,204,982,925.00","3,315,647,348,962.00","2,887,667,766,458.00","3,691,521,124,284.00","3,385,017,591,478.00","3,302,799,103,110.00","3,806,582,011,002.00","4,960,786,332,190.00","4,571,024,716,176.00","4,567,440,888,267.00","10,704,033,503,572.00","7,155,004,358,406.00"
