,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,BALANCE SHEEET,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
TỔNG TÀI SẢN,"574,807,290,000,000.00","596,877,182,000,000.00","599,177,139,000,000.00","625,387,345,000,000.00","669,617,073,000,000.00","693,948,793,000,000.00","722,130,188,000,000.00","791,473,944,000,000.00","836,603,903,000,000.00","823,270,248,000,000.00","958,235,441,000,000.00","1,087,870,325,000,000.00","1,118,622,625,000,000.00","1,178,694,748,000,000.00","1,308,937,567,000,000.00"
TÀI SẢN NGẮN HẠN,"272,222,529,000,000.00","291,950,102,000,000.00","279,229,101,000,000.00","298,026,710,000,000.00","342,609,157,000,000.00","350,049,998,000,000.00","351,053,988,000,000.00","423,990,500,000,000.00","396,479,911,000,000.00","372,183,892,000,000.00","529,134,246,000,000.00","590,641,891,000,000.00","658,772,464,000,000.00","669,086,072,000,000.00","825,661,216,000,000.00"
Tiền và tương đương tiền,"26,209,213,000,000.00","17,449,584,000,000.00","18,445,846,000,000.00","16,882,015,000,000.00","29,289,535,000,000.00","26,653,084,000,000.00","28,565,428,000,000.00","27,040,242,000,000.00","42,582,366,000,000.00","32,491,938,000,000.00","74,759,825,000,000.00","72,150,719,000,000.00","73,542,242,000,000.00","54,750,360,000,000.00","76,395,280,000,000.00"
Tiền,"7,896,295,000,000.00","6,034,849,000,000.00","13,590,996,000,000.00","10,077,203,000,000.00","26,522,815,000,000.00","25,450,736,000,000.00","27,604,386,000,000.00","26,731,528,000,000.00","32,332,352,000,000.00","30,776,595,000,000.00","47,085,328,000,000.00","52,451,984,000,000.00","35,989,397,000,000.00","47,992,026,000,000.00","67,955,145,000,000.00"
Các khoản tương đương tiền,"18,312,918,000,000.00","11,414,735,000,000.00","4,854,850,000,000.00","6,804,812,000,000.00","2,766,720,000,000.00","1,202,348,000,000.00","961,042,000,000.00","308,714,000,000.00","10,250,014,000,000.00","1,715,343,000,000.00","27,674,497,000,000.00","19,698,735,000,000.00","37,552,845,000,000.00","6,758,334,000,000.00","8,440,135,000,000.00"
Giá trị thuần đầu tư ngắn hạn,"4,367,612,000,000.00","7,151,127,000,000.00","4,919,214,000,000.00","7,369,738,000,000.00","5,671,500,000,000.00","4,416,936,000,000.00","4,219,258,000,000.00","6,424,590,000,000.00","8,718,884,000,000.00","7,480,260,000,000.00","9,592,662,000,000.00","7,918,430,000,000.00","9,838,444,000,000.00","19,157,245,000,000.00","29,033,705,000,000.00"
Đầu tư ngắn hạn,"2,352,947,000,000.00","2,553,013,000,000.00","351,887,000,000.00","597,633,000,000.00",0.00,0.00,0.00,0.00,"3,628,250,000,000.00","1,500,000,000,000.00","1,999,420,000,000.00",0.00,"1,583,614,000,000.00",0.00,"399,045,000,000.00"
Dự phòng đầu tư ngắn hạn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chứng khoán đầu tư giữ đến ngày đáo hạn,"2,014,665,000,000.00","4,598,114,000,000.00","4,567,327,000,000.00","6,772,105,000,000.00","5,671,500,000,000.00","4,416,936,000,000.00","4,219,258,000,000.00","6,424,590,000,000.00","5,090,634,000,000.00","5,980,260,000,000.00","7,593,242,000,000.00","7,918,430,000,000.00","8,254,830,000,000.00","19,253,437,000,000.00","28,688,660,000,000.00"
Các khoản phải thu,"117,446,829,000,000.00","149,222,786,000,000.00","144,449,651,000,000.00","152,023,108,000,000.00","165,398,901,000,000.00","177,746,167,000,000.00","168,284,080,000,000.00","217,470,663,000,000.00","190,046,565,000,000.00","179,643,132,000,000.00","254,128,765,000,000.00","267,274,537,000,000.00","267,209,963,000,000.00","251,349,280,000,000.00","316,214,505,000,000.00"
Phải thu khách hàng,"24,769,272,000,000.00","35,324,196,000,000.00","28,129,805,000,000.00","29,138,185,000,000.00","27,605,486,000,000.00","25,461,668,000,000.00","22,604,404,000,000.00","27,139,507,000,000.00","29,080,916,000,000.00","32,791,295,000,000.00","29,238,802,000,000.00","29,339,826,000,000.00","35,747,342,000,000.00","36,575,948,000,000.00","40,364,208,000,000.00"
Trả trước người bán,"38,926,568,000,000.00","38,536,483,000,000.00","34,245,504,000,000.00","36,512,248,000,000.00","34,411,258,000,000.00","37,812,849,000,000.00","36,456,365,000,000.00","38,449,157,000,000.00","40,937,213,000,000.00","52,193,588,000,000.00","59,998,585,000,000.00","72,962,931,000,000.00","84,195,016,000,000.00","84,629,574,000,000.00","135,637,373,000,000.00"
Phải thu nội bộ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phải thu về XDCB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phải thu về cho vay ngắn hạn,"8,257,466,000,000.00","8,104,630,000,000.00","4,723,802,000,000.00","9,426,913,000,000.00","7,637,650,000,000.00","11,170,022,000,000.00","2,186,313,000,000.00","10,684,528,000,000.00","1,478,525,000,000.00",0.00,"20,180,389,000,000.00","24,092,071,000,000.00","8,438,394,000,000.00",0.00,0.00
Phải thu khác,"46,457,886,000,000.00","68,404,513,000,000.00","78,452,117,000,000.00","78,241,858,000,000.00","96,881,244,000,000.00","104,138,223,000,000.00","107,739,620,000,000.00","141,911,927,000,000.00","119,255,260,000,000.00","95,554,820,000,000.00","145,630,056,000,000.00","141,791,491,000,000.00","139,625,305,000,000.00","130,822,438,000,000.00","140,915,203,000,000.00"
