,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,"-972,531,000,000.00","-9,992,306,000,000.00","-3,859,038,000,000.00","4,370,538,000,000.00","1,064,986,000,000.00","-26,456,703,000,000.00","-858,631,000,000.00","-2,799,539,000,000.00","50,961,370,000,000.00","-17,473,778,000,000.00","88,222,505,000,000.00","7,940,584,000,000.00","-9,444,422,000,000.00","26,509,936,000,000.00","50,126,972,000,000.00"
Lãi/lỗ trước những thay đổi vốn lưu động,"7,535,346,000,000.00","4,030,458,000,000.00","7,922,737,000,000.00","18,355,685,000,000.00","10,573,024,000,000.00","-2,787,272,000,000.00","9,416,117,000,000.00","7,863,843,000,000.00","17,789,934,000,000.00","22,033,161,000,000.00","20,825,771,000,000.00","-11,111,953,000,000.00","27,389,536,000,000.00","27,921,248,000,000.00","19,205,258,000,000.00"
Lãi trước thuế,"3,954,741,000,000.00","4,264,287,000,000.00","3,635,529,000,000.00","4,475,332,000,000.00","1,305,848,000,000.00","2,493,879,000,000.00","4,127,427,000,000.00","4,705,397,000,000.00","5,446,885,000,000.00","7,381,863,000,000.00","3,777,060,000,000.00","4,024,377,000,000.00","11,254,075,000,000.00","11,536,718,000,000.00","22,168,856,000,000.00"
Khấu hao TSCĐ,"4,142,869,000,000.00","3,459,939,000,000.00","4,175,850,000,000.00","4,656,409,000,000.00","4,835,484,000,000.00","5,129,418,000,000.00","5,513,696,000,000.00","6,362,201,000,000.00","5,586,927,000,000.00","7,049,131,000,000.00","5,944,211,000,000.00","9,008,611,000,000.00","9,663,294,000,000.00","7,913,123,000,000.00","8,873,348,000,000.00"
Phân bổ lợi thế thương mại,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chi phí dự phòng,"-586,038,000,000.00","2,466,539,000,000.00","170,083,000,000.00","1,600,950,000,000.00","3,308,155,000,000.00","2,044,832,000,000.00","1,934,051,000,000.00","-77,258,000,000.00","6,525,747,000,000.00","4,909,756,000,000.00","1,157,779,000,000.00","787,212,000,000.00","9,161,600,000,000.00","4,477,515,000,000.00","296,560,000,000.00"
Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,"-1,226,364,000,000.00","-331,473,000,000.00","490,907,000,000.00","2,508,111,000,000.00","110,488,000,000.00","1,461,014,000,000.00","1,701,101,000,000.00","-1,655,844,000,000.00","1,061,496,000,000.00","408,606,000,000.00","633,114,000,000.00","877,376,000,000.00","-1,140,708,000,000.00","165,105,000,000.00","134,261,000,000.00"
Lãi/(lỗ) từ thanh lý tài sản cố định,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lãi/(lỗ) từ hoạt động đầu tư,"-1,703,822,000,000.00","-9,160,323,000,000.00","-3,744,223,000,000.00","-389,497,000,000.00","-4,366,535,000,000.00","-18,746,143,000,000.00","-9,482,575,000,000.00","-7,078,921,000,000.00","-7,750,752,000,000.00","-3,818,552,000,000.00","1,699,406,000,000.00","-34,836,687,000,000.00","-7,964,745,000,000.00","-3,694,095,000,000.00","-21,377,138,000,000.00"
Chi phí lãi vay,"2,953,960,000,000.00","3,331,489,000,000.00","3,194,591,000,000.00","5,504,380,000,000.00","5,379,584,000,000.00","4,829,728,000,000.00","5,622,417,000,000.00","5,608,268,000,000.00","6,919,631,000,000.00","6,102,357,000,000.00","7,614,201,000,000.00","9,027,158,000,000.00","6,416,020,000,000.00","7,522,882,000,000.00","9,109,371,000,000.00"
Thu lãi và cổ tức,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Các khoản điều chỉnh khác,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
(Tăng)/giảm các khoản phải thu,"823,425,000,000.00","-7,145,722,000,000.00","-8,152,114,000,000.00","-13,894,893,000,000.00","-17,534,405,000,000.00","-7,643,941,000,000.00","-27,897,359,000,000.00","-30,693,163,000,000.00","-28,783,274,000,000.00","5,554,418,000,000.00","-3,407,884,000,000.00","18,933,777,000,000.00","-41,316,254,000,000.00","-11,836,014,000,000.00","-48,388,706,000,000.00"
(Tăng)/giảm hàng tồn kho,"-12,032,384,000,000.00","-6,830,563,000,000.00","8,203,276,000,000.00","144,113,000,000.00","-14,496,120,000,000.00","-8,117,371,000,000.00","-1,465,573,000,000.00","-26,215,552,000,000.00","12,787,495,000,000.00","2,652,830,000,000.00","-16,304,160,000,000.00","-52,100,255,000,000.00","-1,779,271,000,000.00","-11,314,593,000,000.00","-67,592,814,000,000.00"
Tăng/(giảm) các khoản phải trả,"9,510,166,000,000.00","2,254,058,000,000.00","-9,414,420,000,000.00","8,321,954,000,000.00","27,845,571,000,000.00","-1,252,127,000,000.00","28,599,641,000,000.00","59,153,241,000,000.00","58,953,183,000,000.00","-44,698,830,000,000.00","109,954,141,000,000.00","59,767,396,000,000.00","15,295,403,000,000.00","22,063,554,000,000.00","159,801,924,000,000.00"
