,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,INCOME STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Doanh số,"41,172,043,000,000.00","38,974,698,000,000.00","47,284,619,000,000.00","47,955,856,000,000.00","27,451,788,000,000.00","21,739,452,000,000.00","42,332,284,000,000.00","62,862,398,000,000.00","62,156,465,000,000.00","83,821,339,000,000.00","46,435,488,000,000.00","39,143,023,000,000.00","162,238,595,000,000.00","104,371,179,000,000.00","117,964,878,000,000.00"
Các khoản giảm trừ,"-4,189,000,000.00","-11,323,000,000.00","10,608,000,000.00","-7,950,000,000.00","-24,016,000,000.00","-950,000,000.00","-5,170,000,000.00","-12,381,000,000.00","-4,058,000,000.00","-4,249,000,000.00","-12,999,000,000.00","-7,920,000,000.00","-11,975,000,000.00","-19,161,000,000.00","-28,844,000,000.00"
Doanh số thuần,"41,167,854,000,000.00","38,963,375,000,000.00","47,295,227,000,000.00","47,947,906,000,000.00","27,427,772,000,000.00","21,738,502,000,000.00","42,327,114,000,000.00","62,850,017,000,000.00","62,152,407,000,000.00","83,817,090,000,000.00","46,422,489,000,000.00","39,135,103,000,000.00","162,226,620,000,000.00","104,352,018,000,000.00","117,936,034,000,000.00"
Giá vốn hàng bán,"-28,363,383,000,000.00","-34,528,471,000,000.00","-36,644,667,000,000.00","-36,208,361,000,000.00","-30,246,755,000,000.00","-23,693,642,000,000.00","-35,190,202,000,000.00","-49,776,513,000,000.00","-52,964,454,000,000.00","-64,568,268,000,000.00","-43,007,211,000,000.00","-46,425,078,000,000.00","-124,874,331,000,000.00","-78,414,392,000,000.00","-90,454,822,000,000.00"
Lãi gộp,"12,804,471,000,000.00","4,434,904,000,000.00","10,650,560,000,000.00","11,739,545,000,000.00","-2,818,983,000,000.00","-1,955,140,000,000.00","7,136,912,000,000.00","13,073,504,000,000.00","9,187,953,000,000.00","19,248,822,000,000.00","3,415,278,000,000.00","-7,289,975,000,000.00","37,352,289,000,000.00","25,937,626,000,000.00","27,481,212,000,000.00"
Thu nhập tài chính,"2,529,341,000,000.00","10,066,516,000,000.00","4,189,228,000,000.00","1,311,631,000,000.00","5,630,560,000,000.00","18,940,713,000,000.00","10,300,290,000,000.00","8,572,435,000,000.00","10,112,054,000,000.00","3,881,715,000,000.00","2,506,905,000,000.00","33,505,199,000,000.00","10,569,431,000,000.00","2,237,600,000,000.00","21,653,563,000,000.00"
Chi phí tài chính,"-2,269,396,000,000.00","-3,794,874,000,000.00","-4,472,301,000,000.00","-8,209,852,000,000.00","-6,040,548,000,000.00","-7,276,953,000,000.00","-8,613,126,000,000.00","-7,603,299,000,000.00","-7,714,717,000,000.00","-7,903,431,000,000.00","-11,617,305,000,000.00","-11,787,443,000,000.00","-15,984,778,000,000.00","-12,068,007,000,000.00","-15,326,768,000,000.00"
Trong đó: Chi phí lãi vay,"-2,953,960,000,000.00","-3,331,489,000,000.00","-3,194,591,000,000.00","-5,504,380,000,000.00","-5,379,584,000,000.00","-4,829,728,000,000.00","-5,622,417,000,000.00","-5,608,268,000,000.00","-6,919,631,000,000.00","-6,102,357,000,000.00","-7,614,201,000,000.00","-9,027,158,000,000.00","-6,416,020,000,000.00","-7,522,882,000,000.00","-9,109,371,000,000.00"
Lãi/(lỗ) từ công ty liên doanh,"-3,360,000,000.00","-110,627,000,000.00","-8,567,000,000.00","17,845,000,000.00","3,524,000,000.00","-14,636,000,000.00","483,574,000,000.00","216,651,000,000.00","163,184,000,000.00","225,050,000,000.00","85,634,000,000.00","217,925,000,000.00","609,584,000,000.00","371,094,000,000.00","211,723,000,000.00"
Chi phí bán hàng,"-3,683,344,000,000.00","-2,581,036,000,000.00","-3,120,746,000,000.00","-3,225,379,000,000.00","-3,116,062,000,000.00","-3,320,582,000,000.00","-3,637,934,000,000.00","-5,158,086,000,000.00","-5,937,317,000,000.00","-4,724,049,000,000.00","-5,435,610,000,000.00","-5,780,237,000,000.00","-15,164,880,000,000.00","-7,215,472,000,000.00","-13,458,258,000,000.00"
Chi phí quản lý doanh  nghiệp,"-5,170,071,000,000.00","-3,213,035,000,000.00","-3,051,254,000,000.00","-3,778,148,000,000.00","-5,046,501,000,000.00","-3,436,064,000,000.00","-3,447,487,000,000.00","-3,511,074,000,000.00","-4,861,211,000,000.00","-4,546,585,000,000.00","-3,118,332,000,000.00","-4,036,012,000,000.00","-5,268,157,000,000.00","-4,178,386,000,000.00","-5,705,445,000,000.00"
Lãi/(lỗ) từ hoạt động kinh doanh,"4,207,641,000,000.00","4,801,848,000,000.00","4,186,920,000,000.00","-2,144,358,000,000.00","-11,388,010,000,000.00","2,937,338,000,000.00","2,222,229,000,000.00","5,590,131,000,000.00","949,946,000,000.00","6,194,477,000,000.00","-14,163,430,000,000.00","4,829,457,000,000.00","12,113,489,000,000.00","5,084,455,000,000.00","15,274,246,000,000.00"
Thu nhập khác,"186,298,000,000.00","220,710,000,000.00","114,199,000,000.00","7,312,453,000,000.00","14,175,489,000,000.00","1,075,553,000,000.00","2,882,661,000,000.00","377,588,000,000.00","5,732,844,000,000.00","5,333,646,000,000.00","18,692,171,000,000.00","676,227,000,000.00","442,338,000,000.00","6,956,070,000,000.00","7,861,568,000,000.00"
Chi phí khác,"-439,198,000,000.00","-758,271,000,000.00","-665,590,000,000.00","-692,763,000,000.00","-1,481,631,000,000.00","-1,519,012,000,000.00","-977,463,000,000.00","-1,262,322,000,000.00","-1,235,905,000,000.00","-4,146,260,000,000.00","-751,681,000,000.00","-1,481,307,000,000.00","-1,301,752,000,000.00","-503,807,000,000.00","-966,958,000,000.00"
"Thu nhập khác, ròng","-252,900,000,000.00","-537,561,000,000.00","-551,391,000,000.00","6,619,690,000,000.00","12,693,858,000,000.00","-443,459,000,000.00","1,905,198,000,000.00","-884,734,000,000.00","4,496,939,000,000.00","1,187,386,000,000.00","17,940,490,000,000.00","-805,080,000,000.00","-859,414,000,000.00","6,452,263,000,000.00","6,894,610,000,000.00"
Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lãi/(lỗ) ròng trước thuế,"3,954,741,000,000.00","4,264,287,000,000.00","3,635,529,000,000.00","4,475,332,000,000.00","1,305,848,000,000.00","2,493,879,000,000.00","4,127,427,000,000.00","4,705,397,000,000.00","5,446,885,000,000.00","7,381,863,000,000.00","3,777,060,000,000.00","4,024,377,000,000.00","11,254,075,000,000.00","11,536,718,000,000.00","22,168,856,000,000.00"
Thuế thu nhập doanh nghiệp – hiện thời,"-3,618,126,000,000.00","-3,604,350,000,000.00","-3,757,492,000,000.00","-3,913,879,000,000.00","-14,554,000,000.00","-1,229,219,000,000.00","-3,478,515,000,000.00","-4,742,333,000,000.00","-3,463,508,000,000.00","-4,747,228,000,000.00","-1,353,012,000,000.00","-1,180,051,000,000.00","-7,340,229,000,000.00","-6,093,841,000,000.00","-7,389,539,000,000.00"
Thuế thu nhập doanh nghiệp – hoãn lại,"73,706,000,000.00","-70,788,000,000.00","521,938,000,000.00","5,815,000,000.00","-796,625,000,000.00","70,416,000,000.00","75,965,000,000.00","2,051,847,000,000.00","-775,862,000,000.00","-391,366,000,000.00","-127,515,000,000.00","181,012,000,000.00","-414,172,000,000.00","167,902,000,000.00","-15,357,000,000.00"
Chi phí thuế thu nhập doanh nghiệp,"-3,544,420,000,000.00","-3,675,138,000,000.00","-3,235,554,000,000.00","-3,908,064,000,000.00","-811,179,000,000.00","-1,158,803,000,000.00","-3,402,550,000,000.00","-2,690,486,000,000.00","-4,239,370,000,000.00","-5,138,594,000,000.00","-1,480,527,000,000.00","-999,039,000,000.00","-7,754,401,000,000.00","-5,925,939,000,000.00","-7,404,896,000,000.00"
Lãi/(lỗ) thuần sau thuế,"410,321,000,000.00","589,149,000,000.00","399,975,000,000.00","567,268,000,000.00","494,669,000,000.00","1,335,076,000,000.00","724,877,000,000.00","2,014,911,000,000.00","1,207,515,000,000.00","2,243,269,000,000.00","2,296,533,000,000.00","3,025,338,000,000.00","3,499,674,000,000.00","5,610,779,000,000.00","14,763,960,000,000.00"
Lợi ích của cổ đông thiểu số,"-1,148,666,000,000.00","-477,086,000,000.00","-1,424,165,000,000.00","1,236,305,000,000.00","653,435,000,000.00","-6,599,393,000,000.00","4,253,894,000,000.00","-3,280,012,000,000.00","-984,917,000,000.00","-4,735,494,000,000.00","3,237,442,000,000.00","2,385,154,000,000.00","-1,172,222,000,000.00","-1,665,239,000,000.00","4,761,345,000,000.00"
Lợi nhuận của Cổ đông của Công ty mẹ,"1,558,987,000,000.00","1,066,235,000,000.00","1,824,140,000,000.00","-669,037,000,000.00","-158,766,000,000.00","7,934,469,000,000.00","-3,529,017,000,000.00","5,294,923,000,000.00","2,192,432,000,000.00","6,978,763,000,000.00","-940,909,000,000.00","640,184,000,000.00","4,671,896,000,000.00","7,276,018,000,000.00","10,002,615,000,000.00"
Lãi cơ bản trên cổ phiếu,0.00,287.00,492.00,0.00,0.00,"2,133.00",-949.00,"1,423.00",435.00,938.00,-337.00,254.00,0.00,925.00,"1,322.00"
Lãi trên cổ phiếu pha loãng,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,423.00",366.00,0.00,0.00,0.00,0.00,0.00,0.00
EBIT,"-11,544,664,000,000.00","-6,784,807,000,000.00","7,157,790,000,000.00","11,806,467,000,000.00","-2,468,686,000,000.00","-10,478,754,000,000.00","-14,940,705,000,000.00","-15,272,379,000,000.00","-5,901,408,000,000.00","11,764,907,000,000.00","6,609,634,000,000.00","-14,900,934,000,000.00","3,628,893,000,000.00","9,218,132,000,000.00","22,674,305,000,000.00"
EBITDA,"9,708,518,000,000.00","12,648,704,000,000.00","25,262,335,000,000.00","28,241,534,000,000.00","15,137,156,000,000.00","8,318,407,000,000.00","5,229,184,000,000.00","6,603,302,000,000.00","16,725,716,000,000.00","36,311,744,000,000.00","31,552,104,000,000.00","12,687,946,000,000.00","35,294,140,000,000.00","41,747,371,000,000.00","58,132,681,000,000.00"
,,,,,,,,,,,,,,,
Dữ liệu được cung cấp bởi FiinTrade,,,,,,,,,,,,,,,
https://fiintrade.vn/,,,,,,,,,,,,,,,
